snapshot_date,section_name,chain_name
2026-03-14,グルメ,丸亀製麺
2026-03-14,グルメ,元祖寿司
2026-03-14,グルメ,北海道ジンギスカン蝦夷屋
2026-03-14,グルメ,千年の宴
2026-03-14,グルメ,地球人
2026-03-14,グルメ,夢庵
2026-03-14,グルメ,大庄水産
2026-03-14,グルメ,天丼てんや
2026-03-14,グルメ,山内農場
2026-03-14,グルメ,庄や
2026-03-14,グルメ,掌
2026-03-14,グルメ,文化食堂
2026-03-14,グルメ,日の出本舗
2026-03-14,グルメ,日高屋
2026-03-14,グルメ,星のなる木
2026-03-14,グルメ,月の宴
2026-03-14,グルメ,月夜のたぬき
2026-03-14,グルメ,来来軒
2026-03-14,グルメ,松のや
2026-03-14,グルメ,松屋
2026-03-14,グルメ,海都
2026-03-14,グルメ,濱焼北海道魚萬
2026-03-14,グルメ,焼肉の和民
2026-03-14,グルメ,焼鳥日高
2026-03-14,グルメ,牛たん徳茂
2026-03-14,グルメ,牛たん炭火焼き 利久
2026-03-14,グルメ,白木屋
2026-03-14,グルメ,目利きの銀次
2026-03-14,グルメ,福福屋
2026-03-14,グルメ,笑笑
2026-03-14,グルメ,豊丸水産
2026-03-14,グルメ,豊後高田どり酒場
2026-03-14,グルメ,軍鶏農場
2026-03-14,グルメ,銀座ルノアール
2026-03-14,グルメ,銀政
2026-03-14,グルメ,風
2026-03-14,グルメ,餃子の王将
2026-03-14,グルメ,魚民
2026-03-14,グルメ,魚鮮水産
2026-03-14,グルメ,鳥永 すすきの総本店
2026-03-14,グルメ,鶏のGeorge
2026-03-14,グルメ,黒の50
2026-03-14,コンビニエンスストア,セブン-イレブン
2026-03-14,コンビニエンスストア,ナチュラルローソン
2026-03-14,コンビニエンスストア,ファミリーマート
2026-03-14,コンビニエンスストア,ポプラ
2026-03-14,コンビニエンスストア,ローソン
2026-03-14,コンビニエンスストア,ローソンストア100
2026-03-14,コンビニエンスストア,生活彩家
2026-03-14,スーパーマーケット・ホームセンター,A－プライス
2026-03-14,スーパーマーケット・ホームセンター,KINSHO／Harves
2026-03-14,スーパーマーケット・ホームセンター,Qマート
2026-03-14,スーパーマーケット・ホームセンター,イトーヨーカ堂／イトーヨーカドー
2026-03-14,スーパーマーケット・ホームセンター,オーケー
2026-03-14,スーパーマーケット・ホームセンター,オータニ
2026-03-14,スーパーマーケット・ホームセンター,コメリ
2026-03-14,スーパーマーケット・ホームセンター,コーナン
2026-03-14,スーパーマーケット・ホームセンター,サンプラザ
2026-03-14,スーパーマーケット・ホームセンター,ジョイフルエーケー
2026-03-14,スーパーマーケット・ホームセンター,スーパーアルプス
2026-03-14,スーパーマーケット・ホームセンター,スーパーマーケットバロー
2026-03-14,スーパーマーケット・ホームセンター,ダイユーエイト
2026-03-14,スーパーマーケット・ホームセンター,フクハラ
2026-03-14,スーパーマーケット・ホームセンター,フーズマーケットホック
2026-03-14,スーパーマーケット・ホームセンター,ベストホーム
2026-03-14,スーパーマーケット・ホームセンター,ベストム
2026-03-14,スーパーマーケット・ホームセンター,ベルジョイス
2026-03-14,スーパーマーケット・ホームセンター,ホームセンターバロー
2026-03-14,スーパーマーケット・ホームセンター,マルマンストア
2026-03-14,スーパーマーケット・ホームセンター,ユニバース
2026-03-14,スーパーマーケット・ホームセンター,ヨークベニマル
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／コンフォートマーケット
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークフーズ
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークプライス
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークマート
2026-03-14,スーパーマーケット・ホームセンター,ラッキー
2026-03-14,スーパーマーケット・ホームセンター,ラルズ
2026-03-14,スーパーマーケット・ホームセンター,ロイヤルホームセンター
2026-03-14,スーパーマーケット・ホームセンター,京浜さえき
2026-03-14,スーパーマーケット・ホームセンター,伊藤チェーン
2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（おかじま）
2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（セルバ）
2026-03-14,スーパーマーケット・ホームセンター,島忠ホームズ
2026-03-14,スーパーマーケット・ホームセンター,成城石井
2026-03-14,スーパーマーケット・ホームセンター,新鮮食材キャッシュ＆キャリー昭和
2026-03-14,スーパーマーケット・ホームセンター,東京さえき
2026-03-14,スーパーマーケット・ホームセンター,東光ストア
2026-03-14,スーパーマーケット・ホームセンター,東急ストア
2026-03-14,スーパーマーケット・ホームセンター,生活協同組合コープかごしま
2026-03-14,スーパーマーケット・ホームセンター,道北アークス
2026-03-14,スーパーマーケット・ホームセンター,道南ラルズ
2026-03-14,スーパーマーケット・ホームセンター,道東アークス
2026-03-14,スーパーマーケット・ホームセンター,食鮮館タイヨー
2026-03-14,スーパーマーケット・ホームセンター,（株）西條
2026-03-14,ドラッグストア・薬局,Fit Care DEPOT
2026-03-14,ドラッグストア・薬局,Fit Care Express
2026-03-14,ドラッグストア・薬局,Fit Care MART
2026-03-14,ドラッグストア・薬局,HAC
2026-03-14,ドラッグストア・薬局,V・ｄｒｕｇ
2026-03-14,ドラッグストア・薬局,musée de peau
2026-03-14,ドラッグストア・薬局,とをしや薬局
2026-03-14,ドラッグストア・薬局,ふく薬品
2026-03-14,ドラッグストア・薬局,よどや
2026-03-14,ドラッグストア・薬局,アイセイ薬局グループ
2026-03-14,ドラッグストア・薬局,アインズ&トルペ
2026-03-14,ドラッグストア・薬局,アルカドラッグ
2026-03-14,ドラッグストア・薬局,ウエルシア薬局
2026-03-14,ドラッグストア・薬局,カワチ薬品
2026-03-14,ドラッグストア・薬局,キリン堂
2026-03-14,ドラッグストア・薬局,コクミン
2026-03-14,ドラッグストア・薬局,コスメティクスアンドメディカル
2026-03-14,ドラッグストア・薬局,サツドラ
2026-03-14,ドラッグストア・薬局,サンドラッグ
2026-03-14,ドラッグストア・薬局,スギドラッグ
2026-03-14,ドラッグストア・薬局,スギヤマ薬品
2026-03-14,ドラッグストア・薬局,スギ薬局
2026-03-14,ドラッグストア・薬局,スーパードラッグ ひまわり
2026-03-14,ドラッグストア・薬局,ダックス
2026-03-14,ドラッグストア・薬局,ハッピードラッグ
2026-03-14,ドラッグストア・薬局,マルエ
2026-03-14,ドラッグストア・薬局,大賀薬局
2026-03-14,ドラッグストア・薬局,杏林堂薬局/杏林堂スーパードラッグストア
2026-03-14,ドラッグストア・薬局,薬王堂
2026-03-14,ドラッグストア・薬局,金光薬品
2026-03-14,レジャー・アミューズメント,SMALL WORLDS TOKYO
2026-03-14,レジャー・アミューズメント,まねきねこ
2026-03-14,レジャー・アミューズメント,アドベンチャーワールド
2026-03-14,レジャー・アミューズメント,ジャンカラ
2026-03-14,レジャー・アミューズメント,ファーム富田
2026-03-14,レジャー・アミューズメント,東京タワー
2026-03-14,家電,エディオン
2026-03-14,家電,ケーズデンキ
2026-03-14,家電,ジョーシン
2026-03-14,家電,ヤマダデンキ
2026-03-14,宿泊施設,ANAクラウンプラザホテル富山
2026-03-14,宿泊施設,ホテルα-1 グループ
2026-03-14,宿泊施設,ホテルニューオータニ大阪
2026-03-14,宿泊施設,リッチモンドホテル
2026-03-14,宿泊施設,城山観光ホテル
2026-03-14,服飾,DIFFERENCE
2026-03-14,服飾,KENFORD
2026-03-14,服飾,P.S.FA
2026-03-14,服飾,REGAL
2026-03-14,服飾,REGAL SHOE & co.
2026-03-14,服飾,REGAL SHOES
2026-03-14,服飾,REGAL TOKYO
2026-03-14,服飾,SHETLAND FOX
2026-03-14,服飾,SUIT SELECT
2026-03-14,服飾,SUIT SQUARE
2026-03-14,服飾,UNIVERSAL LANGUAGE
2026-03-14,服飾,UNIVERSAL LANGUAGE MEASURE'S
2026-03-14,服飾,はるやま
2026-03-14,服飾,コナカ
2026-03-14,服飾,フォーエル
2026-03-14,服飾,フタタ
2026-03-14,服飾,メガネフラワー
2026-03-14,服飾,メガネ本舗
2026-03-14,服飾,リーガルファクトリーストア
2026-03-14,服飾,洋服の青山
2026-03-14,服飾,眼鏡市場
2026-03-14,服飾,西松屋
2026-03-14,本,TSUTAYA
2026-03-14,本,TSUTAYA BOOKSTORE
2026-03-14,本,丸善ジュンク堂書店／ジュンク堂書店
2026-03-14,本,丸善ジュンク堂書店／丸善
2026-03-14,本,有隣堂
2026-03-14,本,蔦屋書店
2026-03-14,百貨店・モール,C one
2026-03-14,百貨店・モール,KiKi京橋
2026-03-14,百貨店・モール,PRALIVA（プラリバ）
2026-03-14,百貨店・モール,ShinQsビューティパレット
2026-03-14,百貨店・モール,くずはモール
2026-03-14,百貨店・モール,ならファミリー専門店街zoro
2026-03-14,百貨店・モール,なんばCITY
2026-03-14,百貨店・モール,なんばパークス
2026-03-14,百貨店・モール,アスピア明石
2026-03-14,百貨店・モール,イトーヨーカ堂／アリオ
2026-03-14,百貨店・モール,イトーヨーカ堂／グランツリー
2026-03-14,百貨店・モール,イトーヨーカ堂／プライムツリー
2026-03-14,百貨店・モール,キラリナ京王吉祥寺
2026-03-14,百貨店・モール,グランベリーパーク
2026-03-14,百貨店・モール,ジョイナス
2026-03-14,百貨店・モール,ダイナシティ
2026-03-14,百貨店・モール,トリエ京王調布
2026-03-14,百貨店・モール,ニッケコルトンプラザ
2026-03-14,百貨店・モール,フレンテ笹塚
2026-03-14,百貨店・モール,ミント神戸
2026-03-14,百貨店・モール,モアーズシティ横須賀
2026-03-14,百貨店・モール,モレラ岐阜
2026-03-14,百貨店・モール,ラグーナフェスティバルマーケット
2026-03-14,百貨店・モール,ル・トロワ
2026-03-14,百貨店・モール,二子玉川ライズショッピングセンター
2026-03-14,百貨店・モール,京急百貨店
2026-03-14,百貨店・モール,京王モール & 京王モールアネックス
2026-03-14,百貨店・モール,京王多摩センターSC
2026-03-14,百貨店・モール,京王聖蹟桜ヶ丘SC
2026-03-14,百貨店・モール,京都ファミリー 専門店
2026-03-14,百貨店・モール,京阪シティモール
2026-03-14,百貨店・モール,京阪モール
2026-03-14,百貨店・モール,岸和田カンカンベイサイドモール
2026-03-14,百貨店・モール,日吉東急アベニュー
2026-03-14,百貨店・モール,東急フードショー
2026-03-14,百貨店・モール,東急フードショースライス
2026-03-14,百貨店・モール,東急百貨店
2026-03-14,百貨店・モール,東武百貨店
2026-03-14,百貨店・モール,渋谷ヒカリエShinQs
2026-03-14,百貨店・モール,町田東急ツインズ
2026-03-14,百貨店・モール,近鉄百貨店
2026-03-14,空港施設,ANA DUTY FREE SHOP
2026-03-14,空港施設,ANA FESTA
2026-03-14,空港施設,函館空港
2026-03-14,空港施設,新千歳空港
2026-03-14,空港施設,羽田空港
2026-03-14,空港施設,長崎空港
