change_type,snapshot_date,section_name,chain_name
added,2026-03-14,スーパーマーケット・ホームセンター,生活協同組合コープかごしま
added,2026-03-14,スーパーマーケット・ホームセンター,道北アークス
added,2026-03-14,スーパーマーケット・ホームセンター,道南ラルズ
added,2026-03-14,スーパーマーケット・ホームセンター,道東アークス
added,2026-03-14,スーパーマーケット・ホームセンター,食鮮館タイヨー
added,2026-03-14,スーパーマーケット・ホームセンター,（株）西條
added,2026-03-14,ドラッグストア・薬局,Fit Care DEPOT
added,2026-03-14,ドラッグストア・薬局,Fit Care Express
added,2026-03-14,ドラッグストア・薬局,Fit Care MART
added,2026-03-14,ドラッグストア・薬局,HAC
added,2026-03-14,ドラッグストア・薬局,V・ｄｒｕｇ
added,2026-03-14,ドラッグストア・薬局,musée de peau
added,2026-03-14,ドラッグストア・薬局,とをしや薬局
added,2026-03-14,ドラッグストア・薬局,ふく薬品
added,2026-03-14,ドラッグストア・薬局,よどや
added,2026-03-14,ドラッグストア・薬局,アイセイ薬局グループ
added,2026-03-14,ドラッグストア・薬局,アインズ&トルペ
added,2026-03-14,ドラッグストア・薬局,アルカドラッグ
added,2026-03-14,ドラッグストア・薬局,ウエルシア薬局
added,2026-03-14,ドラッグストア・薬局,カワチ薬品
added,2026-03-14,ドラッグストア・薬局,キリン堂
added,2026-03-14,ドラッグストア・薬局,コクミン
added,2026-03-14,ドラッグストア・薬局,コスメティクスアンドメディカル
added,2026-03-14,ドラッグストア・薬局,サツドラ
added,2026-03-14,ドラッグストア・薬局,サンドラッグ
added,2026-03-14,ドラッグストア・薬局,スギドラッグ
added,2026-03-14,ドラッグストア・薬局,スギヤマ薬品
added,2026-03-14,ドラッグストア・薬局,スギ薬局
added,2026-03-14,ドラッグストア・薬局,スーパードラッグ ひまわり
added,2026-03-14,ドラッグストア・薬局,ダックス
added,2026-03-14,ドラッグストア・薬局,ハッピードラッグ
added,2026-03-14,ドラッグストア・薬局,マルエ
added,2026-03-14,ドラッグストア・薬局,大賀薬局
added,2026-03-14,ドラッグストア・薬局,杏林堂薬局/杏林堂スーパードラッグストア
added,2026-03-14,ドラッグストア・薬局,薬王堂
added,2026-03-14,ドラッグストア・薬局,金光薬品
added,2026-03-14,レジャー・アミューズメント,SMALL WORLDS TOKYO
added,2026-03-14,レジャー・アミューズメント,まねきねこ
added,2026-03-14,レジャー・アミューズメント,アドベンチャーワールド
added,2026-03-14,レジャー・アミューズメント,ジャンカラ
added,2026-03-14,レジャー・アミューズメント,ファーム富田
added,2026-03-14,レジャー・アミューズメント,東京タワー
added,2026-03-14,家電,エディオン
added,2026-03-14,家電,ケーズデンキ
added,2026-03-14,家電,ジョーシン
added,2026-03-14,家電,ヤマダデンキ
added,2026-03-14,宿泊施設,ANAクラウンプラザホテル富山
added,2026-03-14,宿泊施設,ホテルα-1 グループ
added,2026-03-14,宿泊施設,ホテルニューオータニ大阪
added,2026-03-14,宿泊施設,リッチモンドホテル
added,2026-03-14,宿泊施設,城山観光ホテル
added,2026-03-14,服飾,DIFFERENCE
added,2026-03-14,服飾,KENFORD
added,2026-03-14,服飾,P.S.FA
added,2026-03-14,服飾,REGAL
added,2026-03-14,服飾,REGAL SHOE & co.
added,2026-03-14,服飾,REGAL SHOES
added,2026-03-14,服飾,REGAL TOKYO
added,2026-03-14,服飾,SHETLAND FOX
added,2026-03-14,服飾,SUIT SELECT
added,2026-03-14,服飾,SUIT SQUARE
added,2026-03-14,服飾,UNIVERSAL LANGUAGE
added,2026-03-14,服飾,UNIVERSAL LANGUAGE MEASURE'S
added,2026-03-14,服飾,はるやま
added,2026-03-14,服飾,コナカ
added,2026-03-14,服飾,フォーエル
added,2026-03-14,服飾,フタタ
added,2026-03-14,服飾,メガネフラワー
added,2026-03-14,服飾,メガネ本舗
added,2026-03-14,服飾,リーガルファクトリーストア
added,2026-03-14,服飾,洋服の青山
added,2026-03-14,服飾,眼鏡市場
added,2026-03-14,服飾,西松屋
added,2026-03-14,本,TSUTAYA
added,2026-03-14,本,TSUTAYA BOOKSTORE
added,2026-03-14,本,丸善ジュンク堂書店／ジュンク堂書店
added,2026-03-14,本,丸善ジュンク堂書店／丸善
added,2026-03-14,本,有隣堂
added,2026-03-14,本,蔦屋書店
added,2026-03-14,百貨店・モール,C one
added,2026-03-14,百貨店・モール,KiKi京橋
added,2026-03-14,百貨店・モール,PRALIVA（プラリバ）
added,2026-03-14,百貨店・モール,ShinQsビューティパレット
added,2026-03-14,百貨店・モール,くずはモール
added,2026-03-14,百貨店・モール,ならファミリー専門店街zoro
added,2026-03-14,百貨店・モール,なんばCITY
added,2026-03-14,百貨店・モール,なんばパークス
added,2026-03-14,百貨店・モール,アスピア明石
added,2026-03-14,百貨店・モール,イトーヨーカ堂／アリオ
added,2026-03-14,百貨店・モール,イトーヨーカ堂／グランツリー
added,2026-03-14,百貨店・モール,イトーヨーカ堂／プライムツリー
added,2026-03-14,百貨店・モール,キラリナ京王吉祥寺
added,2026-03-14,百貨店・モール,グランベリーパーク
added,2026-03-14,百貨店・モール,ジョイナス
added,2026-03-14,百貨店・モール,ダイナシティ
added,2026-03-14,百貨店・モール,トリエ京王調布
added,2026-03-14,百貨店・モール,ニッケコルトンプラザ
added,2026-03-14,百貨店・モール,フレンテ笹塚
added,2026-03-14,百貨店・モール,ミント神戸
added,2026-03-14,百貨店・モール,モアーズシティ横須賀
added,2026-03-14,百貨店・モール,モレラ岐阜
added,2026-03-14,百貨店・モール,ラグーナフェスティバルマーケット
added,2026-03-14,百貨店・モール,ル・トロワ
added,2026-03-14,百貨店・モール,二子玉川ライズショッピングセンター
added,2026-03-14,百貨店・モール,京急百貨店
added,2026-03-14,百貨店・モール,京王モール & 京王モールアネックス
added,2026-03-14,百貨店・モール,京王多摩センターSC
added,2026-03-14,百貨店・モール,京王聖蹟桜ヶ丘SC
added,2026-03-14,百貨店・モール,京都ファミリー 専門店
added,2026-03-14,百貨店・モール,京阪シティモール
added,2026-03-14,百貨店・モール,京阪モール
added,2026-03-14,百貨店・モール,岸和田カンカンベイサイドモール
added,2026-03-14,百貨店・モール,日吉東急アベニュー
added,2026-03-14,百貨店・モール,東急フードショー
added,2026-03-14,百貨店・モール,東急フードショースライス
added,2026-03-14,百貨店・モール,東急百貨店
added,2026-03-14,百貨店・モール,東武百貨店
added,2026-03-14,百貨店・モール,渋谷ヒカリエShinQs
added,2026-03-14,百貨店・モール,町田東急ツインズ
added,2026-03-14,百貨店・モール,近鉄百貨店
added,2026-03-14,空港施設,ANA DUTY FREE SHOP
added,2026-03-14,空港施設,ANA FESTA
added,2026-03-14,空港施設,函館空港
added,2026-03-14,空港施設,新千歳空港
added,2026-03-14,空港施設,羽田空港
added,2026-03-14,空港施設,長崎空港
