shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url,phone,hours,parking
nishimatsuya-1016,nishimatsuya,西松屋,阿南店,徳島県阿南市西路見町元村1番,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=36&doc=1016,070-1573-8687,AM10:00〜PM8:00,44台
nishimatsuya-1017,nishimatsuya,西松屋,トライアルみやき店,佐賀県三養基郡みやき町大字白壁5932 トライアルみやき店内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=41&doc=1017,080-7229-6466,AM10:00〜PM7:00,290台
nishimatsuya-1018,nishimatsuya,西松屋,登米佐沼店,宮城県登米市迫町佐沼字江合一丁目4-2,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=4&doc=1018,070-1419-3361,AM10:00〜PM8:00,75台（第2駐車場約40台含む）
nishimatsuya-1019,nishimatsuya,西松屋,本庄早稲田の杜店,埼玉県本庄市早稲田の杜4-1-3,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=11&doc=1019,070-1383-2762,AM10:00〜PM8:00,34台
nishimatsuya-1020,nishimatsuya,西松屋,ライフガーデン勝川店,愛知県春日井市小野町2丁目1番1 ライフガーデン勝川2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1020,080-7600-9343,AM10:00〜PM8:00,300台
nishimatsuya-1021,nishimatsuya,西松屋,錦ケ丘ヒルサイドモール店,宮城県仙台市青葉区錦ケ丘一丁目3番地1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=4&doc=1021,080-9719-8767,AM10:00〜PM7:00,1000台
nishimatsuya-1024,nishimatsuya,西松屋,シーモール下関店,山口県下関市竹崎町4丁目4番8号 シーモール下関3F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=35&doc=1024,080-3536-4158,AM10:00〜PM8:00 当面の間はAM10:00〜PM7:30です。,約1850台
nishimatsuya-1025,nishimatsuya,西松屋,モザイクモール港北店,神奈川県横浜市都筑区中川中央1-31-1 モザイクモール港北4階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1025,080-7146-5984,AM10:00〜PM8:00,1100台
nishimatsuya-1026,nishimatsuya,西松屋,平野加美東店,大阪府大阪市平野区加美東4-15-8,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=27&doc=1026,080-4851-0989,AM10:00〜PM7:00,19台
nishimatsuya-1027,nishimatsuya,西松屋,むつ小川店,青森県むつ市小川町一丁目104-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=2&doc=1027,080-4782-6283,AM10:00〜PM8:00,92台
nishimatsuya-1029,nishimatsuya,西松屋,ガーデンモール彩都店,大阪府茨木市彩都あさぎ1丁目2-1 ガーデンモール彩都3F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=27&doc=1029,080-4952-0989,AM10:00〜PM8:00,279台
nishimatsuya-103,nishimatsuya,西松屋,会津若松店,福島県会津若松市南花畑2番65号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=7&doc=103,080-7964-2088,AM10:00〜PM8:00,26台
nishimatsuya-1030,nishimatsuya,西松屋,小城畑田店,佐賀県小城市小城町畑田2526-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=41&doc=1030,080-7646-1625,AM10:00〜PM7:00,54台
nishimatsuya-1031,nishimatsuya,西松屋,ぐりーんうぉーく多摩店,東京都八王子市別所2丁目56番地 ぐりーんうぉーく多摩コーナン1階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1031,080-3609-5389,AM10:00〜PM8:00,2123台
nishimatsuya-1032,nishimatsuya,西松屋,クイズゲート浦和店,埼玉県さいたま市緑区中尾不動谷3720 クイズゲート浦和店の1F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=11&doc=1032,080-7115-3093,AM10:00〜PM8:00 (3/21(土)よりAM10:00〜PM7:00に変更いたします。),324台
nishimatsuya-1033,nishimatsuya,西松屋,アクロスプラザ扶桑店,愛知県丹羽郡扶桑町高雄下野7,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1033,080-4859-9496,AM10:00〜PM8:00,574台
nishimatsuya-1035,nishimatsuya,西松屋,岡山岡北店,岡山県岡山市北区中井町2丁目5番35-4,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=33&doc=1035,080-7323-3896,AM10:00〜PM8:00,392台
nishimatsuya-1036,nishimatsuya,西松屋,コロワ甲子園店,兵庫県西宮市甲子園高潮町3-3 コロワ甲子園B1F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1036,080-4659-4865,AM10:00〜PM9:00,1000台
nishimatsuya-1037,nishimatsuya,西松屋,ミ・ナーラ店,奈良県奈良市二条大路南1-3-1 ミ・ナーラ3F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=29&doc=1037,080-9426-6538,AM10:00〜PM8:00,約1300台
nishimatsuya-1038,nishimatsuya,西松屋,牧の原モア店,千葉県印西市牧の原1-3-1 牧の原モア内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=1038,080-4732-5437,AM10:00〜PM8:00,約1400台
nishimatsuya-1039,nishimatsuya,西松屋,ヨドバシ吉祥寺店,東京都武蔵野市吉祥寺本町1-19-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1039,070-1231-4365,AM10:00〜PM9:00（金土と祝祭日の前日AM10:00〜PM10:00）,150台
nishimatsuya-1040,nishimatsuya,西松屋,トレアージュ白旗店,神奈川県藤沢市藤沢2丁目3番15号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1040,070-1302-5055,AM10:00〜PM8:00,220台
nishimatsuya-1042,nishimatsuya,西松屋,古川穂波店,宮城県大崎市古川穂波3丁目4番1号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=4&doc=1042,070-1403-2741,AM10:00〜PM8:00,120台
nishimatsuya-1043,nishimatsuya,西松屋,高松川島東店,香川県高松市川島東町字郷249番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=37&doc=1043,070-1500-8991,AM10:00〜PM7:00,46台
nishimatsuya-1044,nishimatsuya,西松屋,リソラ大府店,愛知県大府市柊山町1丁目98番地 リソラ大府ショッピングテラス1F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1044,070-3320-6383,AM10:00〜PM8:00,1000台
nishimatsuya-1046,nishimatsuya,西松屋,スーパーセンターオークワ南紀店,和歌山県新宮市佐野3-11-19 スーパーセンターオークワ南紀内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=30&doc=1046,070-1530-7367,AM10:00〜PM8:00,2000台
nishimatsuya-1047,nishimatsuya,西松屋,行方玉造店,茨城県行方市玉造甲1785-1 カインズモール玉造内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=8&doc=1047,080-4381-3964,AM10:00〜PM7:00,174台
nishimatsuya-1048,nishimatsuya,西松屋,福津日蒔野店,福岡県福津市日蒔野六丁目23番10,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=40&doc=1048,070-3203-1580,AM10:00〜PM8:00,56台
nishimatsuya-1049,nishimatsuya,西松屋,フレスポ国分店,鹿児島県霧島市国分広瀬2丁目4番1号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=46&doc=1049,070-1346-9871,AM10:00〜PM8:00,590台
nishimatsuya-105,nishimatsuya,西松屋,佐世保矢峰店,長崎県佐世保市矢峰町223-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=42&doc=105,080-4656-0939,AM10:00〜PM8:00,108台
nishimatsuya-1051,nishimatsuya,西松屋,フレスポ上田まるこ店,長野県上田市中丸子1682-16 4/11(土)をもちまして閉店致します。 永らくのご愛顧、誠にありがとうございました。,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=20&doc=1051,080-7477-6638,AM10:00〜PM7:00,252台
nishimatsuya-1052,nishimatsuya,西松屋,コーナンジェームス山店,兵庫県神戸市垂水区青山台7丁目6番2号 コーナンジェームス山2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1052,070-1257-8027,AM10:00〜PM8:00,235台
nishimatsuya-1053,nishimatsuya,西松屋,コーナン港北インター店,神奈川県横浜市都筑区折本町191番地 コーナン港北インター店 2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1053,070-1497-2493,AM10:00〜PM8:00,442台
nishimatsuya-1054,nishimatsuya,西松屋,苫小牧弥生店,北海道苫小牧市弥生町1丁目9-6,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=1&doc=1054,080-7640-3442,AM10:00〜PM8:00,689台
nishimatsuya-1055,nishimatsuya,西松屋,イオン米子駅前店,鳥取県米子市末広町311 米子駅前ショッピングセンター3Ｆ,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=31&doc=1055,080-7426-7213,AM10:00〜PM7:00,805台
nishimatsuya-1056,nishimatsuya,西松屋,バロー上田秋和店,長野県上田市上塩尻161-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=20&doc=1056,070-3338-4365,AM10:00〜PM8:00,260台
nishimatsuya-1057,nishimatsuya,西松屋,神戸ハーバーランド店,兵庫県神戸市中央区東川崎町1-3-3 ハーバーランドセンタービル1階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1057,080-9777-4205,AM10:00〜PM8:00,500台
nishimatsuya-1058,nishimatsuya,西松屋,ザ・ビッグ豊平店,北海道札幌市豊平区豊平4条9丁目3-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=1&doc=1058,080-7135-9590,AM10:00〜PM8:00,500台
nishimatsuya-1059,nishimatsuya,西松屋,宇土シティモール店,熊本県宇土市善道寺町綾織95 宇土シティモール 2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=43&doc=1059,080-4633-1830,AM10:00〜PM8:00,1767台
nishimatsuya-1060,nishimatsuya,西松屋,秋田外旭川店,秋田県秋田市外旭川字大谷地29番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=5&doc=1060,070-1318-6214,AM10:00〜PM8:00,270台
nishimatsuya-1061,nishimatsuya,西松屋,厚木ガーデンシティ店,神奈川県厚木市中町1-5-10 厚木ガーデンシティ内5階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1061,070-1512-3480,AM10:00〜PM8:00,548台 中町立体駐車場（契約駐車場）
nishimatsuya-1062,nishimatsuya,西松屋,豊田メグリア本店,愛知県豊田市山之手8丁目92番地 メグリア本店3F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1062,070-3237-4457,AM10:00〜PM9:00（土日AM9:00〜PM9:00）,1500台
nishimatsuya-1063,nishimatsuya,西松屋,イオンタウン彦根店,滋賀県彦根市里根町24 イオンタウン彦根内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=25&doc=1063,070-1413-3068,AM10:00〜PM8:00,約140台
nishimatsuya-1064,nishimatsuya,西松屋,コーナン堺高須店,大阪府堺市堺区高須町1-1-5,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=27&doc=1064,080-9446-7910,AM10:00〜PM8:00,647台
nishimatsuya-1065,nishimatsuya,西松屋,横芝光町店,千葉県山武郡横芝光町横芝2155-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=1065,070-1451-7127,AM10:00〜PM7:00,48台
nishimatsuya-1066,nishimatsuya,西松屋,東武ストア板橋前野町店,東京都板橋区前野町6-3-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1066,070-1457-9222,AM10:00〜PM8:00,11台
nishimatsuya-1067,nishimatsuya,西松屋,トナリエ大和高田店,奈良県大和高田市幸町3-18 トナリエ大和高田2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=29&doc=1067,080-7582-3974,AM10:00〜PM9:00,約500台
nishimatsuya-1068,nishimatsuya,西松屋,三田ウッディタウン店,兵庫県三田市けやき台1丁目5番,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1068,080-7003-5121,AM10:00〜PM8:00,294台
nishimatsuya-1069,nishimatsuya,西松屋,ままともプラザ町田旭町店,東京都町田市旭町1丁目24番1号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1069,080-4909-3847,AM10:00〜PM8:00,311台
nishimatsuya-1070,nishimatsuya,西松屋,浅草ROX・3G店,東京都台東区浅草1-26-5,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1070,080-3533-4246,AM10:30〜PM9:00,101台
nishimatsuya-1071,nishimatsuya,西松屋,広島段原ショッピングセンター店,広島県広島市南区段原南1-3-52 広島段原ショッピングセンター4F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=34&doc=1071,080-4850-0865,AM10:00〜PM9:00,800台
nishimatsuya-1072,nishimatsuya,西松屋,五条葛野店,京都府京都市右京区西院月双町98,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=26&doc=1072,070-3361-6050,AM10:00〜PM8:00,18台
nishimatsuya-1073,nishimatsuya,西松屋,アクロスプラザ東神奈川店,神奈川県横浜市神奈川区西寺尾1-16-15,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1073,080-7973-7449,AM10:00〜PM8:00,267台
nishimatsuya-1074,nishimatsuya,西松屋,横浜港南野庭店,神奈川県横浜市港南区日野六丁目11番1号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1074,080-4422-6950,AM10:00〜PM7:00,21台
nishimatsuya-1075,nishimatsuya,西松屋,東大洲店,愛媛県大洲市東大洲1220番6,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=38&doc=1075,070-3353-7937,AM10:00〜PM8:00,510台（複合）
nishimatsuya-1076,nishimatsuya,西松屋,サクラス戸塚店,神奈川県横浜市戸塚区戸塚町4253-1 サクラス戸塚2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1076,080-7517-5926,AM10:00〜PM9:00,740台
nishimatsuya-1077,nishimatsuya,西松屋,春日フォレストシティ店,福岡県春日市星見ヶ丘5丁目250番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=40&doc=1077,080-7294-5136,AM10:00〜PM8:00,51台
nishimatsuya-1079,nishimatsuya,西松屋,西舞鶴モール店,京都府舞鶴市女布2番172,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=26&doc=1079,080-7349-6432,AM10:00〜PM8:00,約900台
nishimatsuya-108,nishimatsuya,西松屋,佐倉ユーカリが丘店,千葉県佐倉市上座字西谷津665番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=108,080-7470-0770,AM10:00〜PM8:00,33台
nishimatsuya-1080,nishimatsuya,西松屋,フジ砥部店,愛媛県伊予郡砥部町重光239番 フジ砥部店２F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=38&doc=1080,070-1389-4280,AM9:00〜PM7:00,373台
nishimatsuya-1081,nishimatsuya,西松屋,錦糸町パルコ店,東京都墨田区江東橋四丁目27番14号 錦糸町パルコ3階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1081,080-3305-9586,AM10:00〜PM9:00 当面の間はAM10:30〜PM9:00です。,210台
nishimatsuya-1083,nishimatsuya,西松屋,松山鷹子店,愛媛県松山市鷹子町495番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=38&doc=1083,080-3435-8722,AM10:00〜PM8:00,39台
nishimatsuya-1084,nishimatsuya,西松屋,DCMダイキ宇品店,広島県広島市南区宇品海岸3丁目7-65 DCMダイキ宇品店内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=34&doc=1084,080-7076-5366,AM10:00〜PM7:00,150台
nishimatsuya-1085,nishimatsuya,西松屋,新宇治槇島店,京都府宇治市槇島町二十四57番3,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=26&doc=1085,080-4631-5953,AM10:00〜PM8:00,58台
nishimatsuya-1086,nishimatsuya,西松屋,ゆめタウン大竹店,広島県大竹市晴海1丁目6-1 ゆめタウン大竹2Ｆ,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=34&doc=1086,070-3409-1878,AM9:00〜PM9:00 当面の間はAM10:00〜PM8:00です。,1394台
nishimatsuya-1087,nishimatsuya,西松屋,ウエストモール・パル鶴岡店,山形県鶴岡市美咲町3-15,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=6&doc=1087,070-3332-1648,AM10:00〜PM8:00,405台
nishimatsuya-1088,nishimatsuya,西松屋,小野店,兵庫県小野市敷地町1502-11,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1088,080-7333-7583,AM10:00〜PM8:00,88台
nishimatsuya-1089,nishimatsuya,西松屋,コーナン王子堀船店,東京都北区堀船一丁目23番13号 コーナン王子堀船店3階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1089,080-4386-2723,AM10:00〜PM8:00,320台
nishimatsuya-109,nishimatsuya,西松屋,佐倉石川店,千葉県佐倉市石川字奥行台644番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=109,090-9685-9679,AM10:00〜PM7:00,20台
nishimatsuya-1090,nishimatsuya,西松屋,イオンタウン山梨中央店,山梨県中央市下河東3053-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=19&doc=1090,080-7381-8178,AM10:00〜PM8:00,1424台
nishimatsuya-1091,nishimatsuya,西松屋,鳥取千代水店,鳥取県鳥取市千代水4丁目11番,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=31&doc=1091,080-7642-8996,AM10:00〜PM7:00,70台
nishimatsuya-1092,nishimatsuya,西松屋,水戸内原店,茨城県水戸市内原1-188,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=8&doc=1092,070-1529-4252,AM10:00〜PM7:00,25台
nishimatsuya-1093,nishimatsuya,西松屋,浦和美園店,埼玉県さいたま市岩槻区美園東一丁目5-12,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=11&doc=1093,080-3427-5051,AM10:00〜PM8:00,41台
nishimatsuya-1094,nishimatsuya,西松屋,コムプラザ倉敷市役所北店,岡山県倉敷市白楽町473 スーパー棟2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=33&doc=1094,080-4386-2659,AM10:00〜PM8:00,278台
nishimatsuya-1095,nishimatsuya,西松屋,新日南店,宮崎県日南市吾田西4丁目5-33,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=45&doc=1095,070-1319-8527,AM10:00〜PM7:00,55台
nishimatsuya-1096,nishimatsuya,西松屋,新潟亀田店,新潟県新潟市江南区早苗2丁目1番43,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=15&doc=1096,070-3254-6638,AM10:00〜PM7:00,43台
nishimatsuya-1098,nishimatsuya,西松屋,ミスターマックス柳井店,山口県柳井市駅南1番12号 ミスターマックスSC内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=35&doc=1098,070-1565-8761,AM10:00〜PM8:00,850台
nishimatsuya-1099,nishimatsuya,西松屋,おのだサンパーク店,山口県山陽小野田市中川6丁目4番1号 おのだサンパーク西館2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=35&doc=1099,070-1467-5719,AM10:00〜PM8:00,2400台
nishimatsuya-110,nishimatsuya,西松屋,佐原店,千葉県香取市佐原イ4215-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=110,080-4091-1388,AM10:00〜PM8:00,33台
nishimatsuya-1100,nishimatsuya,西松屋,ロピアいずみ中央店,神奈川県横浜市泉区上飯田町2060 ロピアいずみ中央店2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=14&doc=1100,070-1537-9506,AM10:00〜PM8:00,400台（無料）
nishimatsuya-1101,nishimatsuya,西松屋,新名張店,三重県名張市蔵持町芝出1301番,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=24&doc=1101,070-1497-1778,AM10:00〜PM8:00,171台
nishimatsuya-1102,nishimatsuya,西松屋,カルチャーパークあてるい水沢店,岩手県奥州市水沢佐倉河字羽黒田4,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=3&doc=1102,080-7062-9338,AM10:00〜PM8:00,1280台
nishimatsuya-1103,nishimatsuya,西松屋,アクロスプラザ恵那店,岐阜県恵那市長島町正家3丁目8-64-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=21&doc=1103,070-1279-5244,AM10:00〜PM8:00,990台
nishimatsuya-1104,nishimatsuya,西松屋,ライフガーデン水巻店,福岡県遠賀郡水巻町樋口3番9号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=40&doc=1104,070-1528-8474,AM10:00〜PM8:00,562台
nishimatsuya-1105,nishimatsuya,西松屋,ワンズモール稲毛店,千葉県千葉市稲毛区長沼町330-50 ワンズモール2階,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=12&doc=1105,080-9423-5786,AM10:00〜PM9:00,約1500台
nishimatsuya-1106,nishimatsuya,西松屋,クロスモール豊田陣中店,愛知県豊田市陣中町1丁目26番8 クロスモール豊田陣中 2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1106,080-3383-4691,AM10:00〜PM8:00,355台(駐輪80台)
nishimatsuya-1107,nishimatsuya,西松屋,イオンタウン名西店,愛知県名古屋市西区香呑町6丁目49-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1107,080-7460-2088,AM9:00〜PM9:00,762台(駐車場3時間まで無料 以降30分ごとに100円（最大800円）)
nishimatsuya-1108,nishimatsuya,西松屋,南陽ショッピングプラザ店,山形県南陽市郡山561番2,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=6&doc=1108,080-4668-8489,AM10:00〜PM7:00,610台
nishimatsuya-1109,nishimatsuya,西松屋,有松ジャンボリー店,愛知県名古屋市緑区南陵601,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1109,070-3291-8736,AM10:00〜PM8:00,860台
nishimatsuya-111,nishimatsuya,西松屋,佐渡佐和田店,新潟県佐渡市市野沢字金山151,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=15&doc=111,070-1550-8393,AM10:00〜PM7:00,64台
nishimatsuya-1110,nishimatsuya,西松屋,アクロスプラザ札幌南22条店,北海道札幌市中央区南23条西7丁目1番5号,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=1&doc=1110,080-4478-8174,AM10:00〜PM8:00,328台
nishimatsuya-1111,nishimatsuya,西松屋,川西西多田店,兵庫県川西市矢問3-22-2,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1111,080-7652-5502,AM10:00〜PM8:00,57台
nishimatsuya-1112,nishimatsuya,西松屋,スパイシーモール門司店,福岡県北九州市門司区下馬寄2-27 スパイシーモール門司2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=40&doc=1112,070-1415-2874,AM10:00〜PM7:00,135台
nishimatsuya-1113,nishimatsuya,西松屋,富山下飯野店,富山県富山市下飯野416番地,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=16&doc=1113,080-4111-9449,AM10:00〜PM8:00,339台
